,City,Country,Lat,Lng,Hotel Name
460,leshukonskoye,RU,64.9,45.76,Gostinitsa Mup Zhkkh
461,galle,LK,6.04,80.22,Amari Galle Sri Lanka
462,aguada de pasajeros,PR,18.38,-67.19,Hotel Colombus
463,port hardy,CD,-7.03,29.76,
464,nenjiang,CN,49.18,125.22,Dong Fang Hui Business Hotel
465,talcahuano,CL,-36.72,-73.12,Hotel MarSur
466,turayf,SA,31.67,38.66,Golden Dune Hotel
467,luganville,VU,-15.53,167.17,Hotel Santo
468,gizo,SB,-8.1,156.84,Oravae Island Cottages
469,kilindoni,TZ,-7.91,39.67,Moams Hotel
470,zhigansk,RU,66.77,123.37,
471,camacupa,AO,-12.02,17.48,
472,porto walter,PT,41.15,-8.61,Porto A.S. 1829 Hotel
473,crossfield,CA,51.43,-114.04,Crossfield Country Inn
474,yerbogachen,RU,61.28,108.01,
475,cedar city,US,41.21,-92.53,
476,bandraboua,YT,-12.7,45.12,
477,pangkalanbuun,ID,-2.68,111.62,Arsela Hotel Pangkalan Bun
478,senador pompeu,HT,18.82,-71.9,Piscine Oasis
479,karratha,AU,-20.74,116.85,Karratha International Hotel
480,petropavlovsk-kamchatskiy,RU,53.05,158.65,Bay House
481,grand river south east,US,38.88,-109.5,
482,vestmannaeyjar,IS,63.44,-20.27,Hotel Vestmannaeyjar
483,charters towers,US,38.57,-83.43,
484,haines junction,US,59.23,-135.44,Aspen Suites Hotel Haines
485,abeche,TD,13.83,20.83,Hotel Cesar
486,ojhar,IN,20.1,73.93,OYO 26117 Hotel Siddhivinayak Celebrations
487,palmeiras de goias,BR,-21.13,-47.75,Arq Inn Hotel
488,rusne,LT,55.3,21.38,Rusne Villa
489,lodja,CD,-3.48,23.43,
490,acapulco,MX,16.86,-99.89,Hotel Elcano Acapulco
491,antofagasta,CL,-23.65,-70.4,Enjoy Antofagasta Hotel Del Desierto
492,aripuana,BR,-9.17,-60.63,
493,goderich,CA,43.75,-81.72,Samuels Hotel
494,garden city,DE,53.69,12.05,
495,lipari,IT,38.47,14.95,La Settima Luna Hotel
496,vaasa,FI,63.08,21.67,Greenstar Hotel Vaasa
497,ketchikan,US,55.34,-131.65,The Gilmore Hotel
498,sisimiut,GL,66.94,-53.67,Hotel Sisimiut
499,tilichiki,RU,60.47,166.1,
500,vila,PT,42.03,-8.16,Moinho do Poço Verde
501,saint-francois,FR,46.42,3.91,Maison Vin d'Hus
502,namatanai,PG,-3.67,152.43,Namatanai Hotel
503,staszow,PL,50.56,21.17,Hotel Oaza Spokoju
504,pilot butte,US,40.82,-114.23,
505,bathsheba,BB,13.22,-59.52,ECO Lifestyle & Lodge
